,time_5000,time_2000,time_10000,adaptive rowing category,age,height,weight,weight_class,profile_id
4,1086.8,416.4,2222.6,able,56,188.0,97.1,H,83
11,1075.6,388.7,2221.0,able,48,185.4,93.0,H,177
17,1006.9,387.3,2051.8,able,45,185.4,73.9,L,389
24,1334.1,523.9,2841.8,able,84,172.7,73.0,L,488
37,1849.6,754.6,3999.7,able,79,172.7,65.8,L,724
39,1725.4,664.5,3401.1,able,82,157.5,68.0,H,743
51,1641.2,639.0,3327.9,able,85,172.7,74.8,L,919
60,1196.4,468.0,2435.2,able,58,180.3,79.4,H,1078
63,1375.1,532.0,2756.9,able,73,177.8,73.9,L,1207
69,1419.9,587.9,3570.3,able,71,180.3,88.0,H,1397
84,1104.6,419.1,2305.4,able,53,180.3,97.1,H,1845
87,1214.1,474.1,2546.7,able,45,182.9,122.5,H,1917
90,1409.2,546.8,2880.7,able,74,180.3,86.2,H,1981
96,1262.7,468.3,2642.3,able,73,177.8,66.2,L,2222
99,1317.5,467.4,2608.8,able,74,188.0,78.5,L,2386
109,1157.5,442.7,2340.7,able,61,182.9,68.9,L,2716
124,1199.3,439.2,2486.0,able,63,188.0,86.2,H,3566
128,1333.2,508.7,2728.1,able,71,182.9,97.5,H,3691
130,1135.3,445.2,2317.1,able,66,185.4,83.9,H,3862
131,1287.1,489.5,2623.4,able,50,182.9,91.2,H,3899
133,1194.7,463.3,2386.0,able,73,188.0,87.1,H,3975
140,1544.5,553.9,3424.4,able,76,182.9,83.9,H,4691
143,1166.6,456.9,2391.1,able,65,170.2,68.5,L,4818
145,1111.1,409.6,2328.0,able,63,193.0,95.3,H,4926
147,1238.4,461.0,2544.4,able,60,172.7,72.6,L,5122
148,1182.6,467.3,2443.0,able,52,175.3,88.0,H,5133
155,1229.7,464.0,2716.5,able,54,180.3,72.6,L,5282
160,1192.9,451.8,2527.6,able,50,182.9,75.8,H,5553
166,1173.2,475.7,2436.3,able,53,180.3,88.9,H,5795
170,1218.7,450.5,2497.7,able,67,193.0,99.8,H,6115
188,1580.6,553.8,2970.6,able,70,182.9,77.6,H,6648
196,1176.6,432.9,2395.2,able,60,193.0,105.7,H,6739
201,1136.5,433.5,2358.1,able,49,185.4,84.8,H,6844
205,1143.8,428.1,2363.1,able,72,182.9,88.9,H,6973
207,1098.7,410.5,2293.5,able,61,188.0,96.2,H,7027
208,1189.9,418.9,2303.9,able,52,182.9,87.5,H,7042
210,1313.7,479.6,2509.5,able,55,167.6,53.1,L,7078
215,1163.4,434.8,2376.6,able,64,193.0,99.8,H,7276
221,1205.9,482.3,2590.9,able,48,190.5,116.6,H,7618
224,1163.1,418.8,2311.2,able,43,182.9,73.9,L,7661
226,1357.1,445.1,2804.7,able,70,193.0,102.1,H,7733
235,1315.7,458.0,2636.2,able,66,172.7,77.1,H,8121
236,1278.3,501.7,2716.6,able,63,188.0,99.8,H,8146
244,1300.4,495.5,2778.7,able,75,175.3,72.1,H,8377
249,1195.7,439.4,2350.5,able,58,185.4,90.7,H,8585
253,1417.5,499.9,2794.4,able,54,170.2,82.1,H,8662
254,1257.8,456.7,2399.6,able,47,185.4,88.9,H,8710
261,1153.7,436.5,2368.7,able,68,185.4,81.2,H,10307
264,1320.6,568.2,2841.2,able,67,188.0,125.6,H,10361
272,1297.5,435.4,2540.2,able,53,180.3,73.0,L,10560
274,1451.7,557.3,3037.3,able,66,172.7,88.9,H,10648
277,1144.1,449.1,2394.1,able,51,182.9,74.8,H,10692
281,1231.5,455.8,2508.5,able,64,185.4,87.1,H,10892
283,1361.1,526.1,2920.9,able,60,177.8,74.4,H,10953
284,1177.9,450.8,2372.3,able,62,188.0,79.4,H,10961
290,1190.5,457.9,2389.7,able,61,182.9,74.8,L,11362
301,1662.0,593.4,3134.5,able,70,172.7,90.7,H,11818
303,1058.8,408.5,2247.6,able,41,185.4,93.9,H,11938
308,1364.5,512.5,2783.7,able,61,182.9,106.1,H,12040
309,1308.7,567.4,2696.3,able,64,177.8,93.9,H,12072
311,1159.1,431.2,2384.1,able,61,185.4,89.8,H,12129
314,1210.8,471.5,2554.3,able,59,188.0,83.0,H,12350
322,1290.2,502.3,2824.7,able,66,180.3,84.8,H,12577
325,1294.0,507.1,2748.3,able,73,177.8,85.7,H,12784
330,1104.7,427.4,2330.2,able,59,185.4,78.9,H,12872
337,1376.6,516.0,2667.6,able,62,182.9,122.5,H,13535
338,1188.6,449.4,2457.6,able,51,167.6,81.6,H,13581
342,1256.6,486.0,2567.0,able,72,190.5,92.1,H,14340
344,1377.3,514.1,2747.9,able,61,177.8,97.1,H,14666
352,1429.9,514.8,2783.8,able,56,167.6,126.1,H,15644
369,1202.1,482.5,2449.1,able,66,188.0,88.5,H,16519
373,1291.0,547.4,2798.4,able,71,180.3,81.2,L,16597
380,1123.0,413.0,2291.0,able,50,200.7,117.9,H,16743
382,1157.4,443.9,2390.4,able,65,177.8,74.8,L,16832
390,1062.3,408.0,2173.2,able,52,180.3,88.5,H,17152
410,1279.1,503.1,2749.1,able,59,188.0,87.1,H,17712
412,1069.7,444.5,2234.7,able,51,198.1,104.8,H,17779
414,1403.5,527.6,2929.1,able,80,188.0,84.8,H,17890
416,1236.6,467.1,2509.2,able,61,177.8,84.8,H,17942
421,1208.5,451.0,2448.2,able,55,185.4,77.1,L,18197
433,1094.1,410.3,2274.9,able,56,175.3,74.4,L,18694
435,1344.8,506.4,2742.7,able,68,170.2,88.5,H,18728
436,1121.2,414.7,2331.8,able,57,200.7,122.5,H,18740
437,1732.6,741.0,3721.0,able,58,165.1,51.3,L,18751
445,1319.5,491.7,2816.9,able,52,172.7,76.2,H,18925
449,1179.2,458.8,2448.5,able,60,180.3,74.4,L,18982
453,1159.1,446.5,2330.2,able,58,188.0,93.0,H,19119
469,1335.2,498.4,2898.9,able,42,175.3,86.2,H,19888
474,1274.6,496.2,2556.5,able,61,188.0,124.7,H,20084
481,1445.4,585.6,2888.0,able,69,162.6,54.4,L,20208
484,1483.6,550.7,3170.4,able,54,165.1,49.9,L,20241
493,1150.1,456.4,2369.0,able,63,177.8,73.9,L,20449
496,1273.2,476.6,2749.1,able,74,177.8,82.1,H,20496
506,1261.4,497.0,2698.9,able,70,182.9,88.5,H,20860
507,1183.4,464.7,2408.4,able,63,190.5,88.5,H,20877
537,1183.3,434.9,2417.1,able,76,193.0,86.2,H,21924
542,1129.8,433.5,2373.1,able,51,188.0,115.7,H,22015
543,1295.7,518.7,2667.5,able,73,175.3,65.8,L,22037
545,1198.4,478.1,2581.8,able,56,195.6,117.0,H,22063
546,1105.9,430.0,2279.2,able,67,188.0,82.1,H,22119
557,1118.0,422.1,2326.9,able,56,172.7,83.9,H,22681
566,1358.9,529.7,2747.0,able,83,182.9,83.9,H,22951
573,1243.2,477.3,2521.2,able,66,177.8,91.2,H,23081
577,1255.8,506.1,2674.8,able,53,185.4,96.2,H,25185
578,1226.6,476.6,2616.8,able,67,188.0,88.0,H,25203
586,998.6,379.3,2085.0,able,51,185.4,93.0,H,25364
588,1054.7,405.2,2155.0,able,49,185.4,104.8,H,25392
603,1372.3,592.3,2956.7,able,50,182.9,79.4,H,28373
608,1254.8,479.8,2560.0,able,67,182.9,70.3,L,28629
615,1307.3,498.4,2695.4,able,64,175.3,72.1,L,28953
628,1170.1,433.9,2349.3,able,40,180.3,81.6,H,29486
636,1216.1,474.7,2629.2,able,58,172.7,62.6,H,29810
641,1110.4,396.6,2336.6,able,51,177.8,74.8,L,29950
654,1492.9,495.6,2720.6,able,64,180.3,98.0,H,30644
656,1193.0,461.4,2508.8,able,64,182.9,83.0,H,30671
659,1295.8,466.0,2623.5,able,63,185.4,99.8,H,30823
664,1373.6,535.7,2806.4,able,64,182.9,98.9,H,31852
668,1247.2,470.9,2586.0,able,69,180.3,104.3,H,32415
671,1189.0,476.9,2464.3,able,57,185.4,104.3,H,32542
692,1499.0,586.2,3174.2,able,60,180.3,93.0,H,33786
694,1236.7,489.3,2494.6,able,50,177.8,92.1,H,34034
699,1218.6,480.0,2475.0,able,72,182.9,74.8,H,34111
708,1324.6,465.0,2493.5,able,64,175.3,94.8,H,40466
710,1518.9,581.0,2929.5,able,72,190.5,123.8,H,40541
715,1399.8,564.0,2931.3,able,64,170.2,74.8,H,40658
718,1285.3,522.9,2631.3,able,66,195.6,84.8,H,40865
734,1270.8,470.9,2568.3,able,65,172.7,71.7,L,41259
740,1228.8,518.6,2515.9,able,47,177.8,70.3,L,41578
742,1191.7,449.9,2496.4,able,51,177.8,87.5,H,41592
749,1048.6,396.8,2217.6,able,43,182.9,87.5,H,41784
761,1179.0,493.7,2453.9,able,59,185.4,123.8,H,42377
764,1120.5,423.9,2244.6,able,44,182.9,83.9,H,42552
767,1266.1,538.7,2744.2,able,54,180.3,133.4,H,42901
768,1305.0,464.4,2624.0,able,55,177.8,69.9,L,43022
775,1259.0,500.3,2666.3,able,60,182.9,81.6,H,43440
782,1354.0,496.5,2788.0,able,50,170.2,77.1,H,43598
785,1025.4,390.3,2123.2,able,51,185.4,89.8,H,43644
791,1180.8,461.7,2436.4,able,64,203.2,104.8,H,44070
793,1078.6,415.2,2212.4,able,52,195.6,93.9,H,44117
808,1255.3,472.5,2472.7,able,60,170.2,103.9,H,44995
809,1567.0,656.8,3501.8,able,73,165.1,63.0,H,45006
813,1259.6,474.8,2615.4,able,44,172.7,74.8,H,45069
819,1109.7,413.0,2278.0,able,39,180.3,78.9,H,45247
838,1142.5,464.5,2337.4,able,46,190.5,113.4,H,45820
841,1188.0,467.9,2388.9,able,63,172.7,72.6,L,45952
844,1237.7,460.0,2646.5,able,44,190.5,112.9,H,46033
856,1110.5,417.9,2273.5,able,51,185.4,88.0,H,46458
857,1138.8,439.8,2374.6,able,57,188.0,95.3,H,46497
880,1172.2,452.3,2333.0,able,59,180.3,93.0,H,47084
895,1603.8,602.0,4124.6,able,65,170.2,62.6,H,47515
897,1439.0,536.0,2752.0,able,73,182.9,77.1,H,47592
934,1303.1,478.5,2739.6,able,52,177.8,83.9,H,65389
935,1169.4,455.8,2562.5,able,68,195.6,106.1,H,65418
