,result_1,result_100,result_1000,result_10000,result_100000,result_2000,result_21097,result_30,result_4,result_42195,result_500,result_5000,result_60,result_6000,age,height,weight,weight_class,gender
0,,,255.9,,,,,,,,,,,,67,,64.9,H,F
1,,,,,,,,,,,116.0,,,,62,,72.6,H,F
2,330.0,,,,,,5688.1,,,,,,,1498.0,65,172.7,99.8,H,M
3,,,203.9,2222.6,,416.4,,8215.0,,,94.6,1086.8,16144.0,1307.6,56,188.0,97.1,H,M
4,,,236.3,2512.3,,474.1,,7289.0,1031.0,,107.4,1204.7,,1485.8,67,,86.2,H,M
5,,17.8,,,,,,,,,,,,,72,,74.4,L,M
6,,,,2298.7,,,,8173.0,,,,1095.4,,1357.5,56,,99.8,H,M
7,,,,2451.1,,458.9,,7323.0,1101.0,,,1178.8,,1630.0,70,,90.7,H,M
8,,,,2494.3,,,,,,,,1141.3,,,45,,93.0,H,M
9,,,,,,,,6344.0,,,,,,,69,,76.2,H,F
10,337.0,16.2,190.1,2221.0,,388.7,4762.6,8350.0,1221.0,,90.0,1075.6,16108.0,1270.8,48,185.4,93.0,H,M
11,,,,,,,,,,,,1397.6,,,69,,79.8,H,M
12,,,,,,595.0,,5852.0,,,,,,,66,,76.7,L,M
13,,,,,,,,6890.0,,,,,,,73,,83.9,H,M
14,,,,,,540.4,,,818.0,,,1352.8,,,61,,64.0,H,F
15,294.0,17.5,238.9,2450.6,,468.0,5264.6,7013.0,1047.0,11148.8,103.2,1187.4,14854.0,1435.3,52,,81.6,H,M
16,,,,,,,,,,,,,11455.0,,75,,98.9,H,M
17,345.0,16.7,187.9,2051.8,,387.3,4438.6,8799.0,1256.0,9176.1,90.1,1006.9,17162.0,1211.8,45,185.4,73.9,L,M
18,,,,3350.3,,,,5822.0,,,125.5,1583.8,,1915.8,53,,102.5,H,F
19,362.0,,188.3,,,404.1,,,,,85.1,,,,58,,104.8,H,M
20,,,,2620.2,,,,6870.0,,,,1246.9,,,67,185.4,94.3,H,M
21,,,,,,,,,,,,,,,93,177.8,68.0,L,M
22,,,274.4,,,,,,,,,,,,84,,99.8,H,M
23,,,266.0,2841.8,,523.9,,6591.0,911.0,,115.8,1334.1,,1695.9,84,172.7,73.0,L,M
24,,,241.3,,,502.3,,,,,,,,,47,205.7,131.5,H,M
25,,,,,,,5835.5,6738.0,972.0,,114.8,,,1594.0,64,167.6,52.2,L,F
26,,,269.0,,,,,,,,,,,,55,,,H,M
