,profile_id,result_1,result_100,result_1000,result_10000,result_100000,result_2000,result_21097,result_30,result_4,result_42195,result_500,result_5000,result_60,result_6000,adaptive rowing category,age,height,weight,weight_class,gender
0,31,,,255.9,,,,,,,,,,,,able,67,,64.9,H,F
1,55,,,,,,,,,,,116.0,,,,able,62,,72.6,H,F
2,60,330.0,,,,,,5688.1,,,,,,,1498.0,able,65,172.7,99.8,H,M
3,83,,,203.9,2222.6,,416.4,,8215.0,,,94.6,1086.8,16144.0,1307.6,able,56,188.0,97.1,H,M
4,88,,,236.3,2512.3,,474.1,,7289.0,1031.0,,107.4,1204.7,,1485.8,able,67,,86.2,H,M
5,98,,17.8,,,,,,,,,,,,,able,72,,74.4,L,M
6,119,,,,2298.7,,,,8173.0,,,,1095.4,,1357.5,able,56,,99.8,H,M
7,122,,,,2451.1,,458.9,,7323.0,1101.0,,,1178.8,,1630.0,able,70,,90.7,H,M
8,161,,,,2494.3,,,,,,,,1141.3,,,able,45,,93.0,H,M
9,173,,,,,,,,6344.0,,,,,,,able,69,,76.2,H,F
10,177,337.0,16.2,190.1,2221.0,,388.7,4762.6,8350.0,1221.0,,90.0,1075.6,16108.0,1270.8,able,48,185.4,93.0,H,M
11,187,,,,,,,,,,,,1397.6,,,able,69,,79.8,H,M
12,211,,,,,,595.0,,5852.0,,,,,,,able,66,,76.7,L,M
13,326,,,,,,,,6890.0,,,,,,,able,73,,83.9,H,M
14,344,,,,,,540.4,,,818.0,,,1352.8,,,able,61,,64.0,H,F
15,347,294.0,17.5,238.9,2450.6,,468.0,5264.6,7013.0,1047.0,11148.8,103.2,1187.4,14854.0,1435.3,able,52,,81.6,H,M
16,372,,,,,,,,,,,,,11455.0,,able,75,,98.9,H,M
17,389,345.0,16.7,187.9,2051.8,,387.3,4438.6,8799.0,1256.0,9176.1,90.1,1006.9,17162.0,1211.8,able,45,185.4,73.9,L,M
18,393,,,,3350.3,,,,5822.0,,,125.5,1583.8,,1915.8,able,53,,102.5,H,F
19,397,362.0,,188.3,,,404.1,,,,,85.1,,,,able,58,,104.8,H,M
20,419,,,,2620.2,,,,6870.0,,,,1246.9,,,able,67,185.4,94.3,H,M
21,451,,,,,,791.4,,,,,,,,,able,93,177.8,68.0,L,M
22,485,,,274.4,,,,,,,,,,,,able,84,,99.8,H,M
23,488,,,266.0,2841.8,,523.9,,6591.0,911.0,,115.8,1334.1,,1695.9,able,84,172.7,73.0,L,M
24,502,,,241.3,,,502.3,,,,,,,,,able,47,205.7,131.5,H,M
25,595,,,,,,,5835.5,6738.0,972.0,,114.8,,,1594.0,able,64,167.6,52.2,L,F
26,601,,,269.0,,,,,,,,,,,,able,55,,,H,M
27,609,,,241.0,,,496.4,,6851.0,,,,,,,able,73,,79.8,H,F
28,624,,,,,,437.0,,,,,,1137.0,15053.0,1398.0,able,61,182.9,89.8,H,M
29,632,,,,,,397.7,,,,,,,,,able,39,,,H,M
30,674,,,,2487.5,,475.7,,7293.0,,,,1240.5,,,able,74,,97.5,H,M
31,698,,,,,,,5085.3,7778.0,,,,,15308.0,,able,52,190.5,83.9,H,M
32,707,,,,,,,,6548.0,,,,1365.5,12576.0,,able,64,,88.5,H,M
33,712,,,,2618.5,,,,7023.0,,,,,,,able,74,193.0,104.3,H,M
34,714,,,,2306.0,,,,,,,,,15619.0,,able,57,,83.0,H,M
35,724,,,355.9,3999.7,,754.6,,,,,,1849.6,,2361.3,able,79,172.7,65.8,L,M
36,736,,20.1,277.0,,,593.1,,,,,,,,,able,75,,86.2,H,M
37,743,209.0,27.7,328.6,3401.1,,664.5,,5226.0,734.0,,157.7,1725.4,10062.0,2070.0,able,82,157.5,68.0,H,F
38,757,,,,,,,,,,,,,,1340.4,able,51,,72.6,L,M
39,786,,,,2398.8,,458.4,5486.4,,,,101.5,1187.1,,,able,54,,94.8,H,M
40,795,,,,,,515.0,,6516.0,,,,,,,able,76,,97.5,H,M
41,844,,,,,,,,,,,,1248.4,,,able,55,172.7,79.4,L,M
42,853,,,,3174.1,,,,7006.0,,,,1534.3,,,able,73,177.8,97.5,H,M
43,860,,,,,,,,,,,,1204.1,,,able,59,188.0,78.0,H,M
44,888,277.0,,,,,,,,,,,1242.0,,,able,73,,97.1,H,M
45,916,307.0,,,,,,,,1051.0,,,,,,able,62,193.0,90.7,H,M
46,917,,,240.8,,,475.2,,,,,,,,,able,50,182.9,97.1,H,M
47,919,,,343.4,3327.9,,639.0,,5188.0,,,144.7,1641.2,10916.0,1972.6,able,85,172.7,74.8,L,M
48,962,,,,,,,,,,,130.5,,12005.0,,able,61,,94.8,H,M
49,1024,,,,,,,,7112.0,,,,,,,able,72,185.4,103.0,H,M
50,1043,,,,,,,,6723.0,,,,,,,able,72,180.3,77.1,H,M
51,1048,,,,,,489.4,,,,,,,,,able,71,,81.6,H,M
52,1051,,,,,,622.2,,,,,,1588.2,,,able,77,165.1,64.0,H,F
53,1078,309.0,18.3,215.6,2435.2,,468.0,,,,,99.5,1196.4,,1450.5,able,58,180.3,79.4,H,M
54,1091,,,,2090.2,,,4502.5,8673.0,,,,1018.6,16888.0,1236.4,able,51,,74.8,L,M
55,1185,268.0,21.2,283.8,3213.6,,606.1,,5746.0,864.0,,133.0,1582.4,,1895.7,able,89,,65.8,L,M
56,1207,,,271.6,2756.9,,532.0,,6620.0,,,151.5,1375.1,,1669.7,able,73,177.8,73.9,L,M
57,1214,,,187.3,,,,,,,,85.3,,,,able,56,,89.8,H,M
58,1215,,,,,,,,7500.0,,,,,,1740.0,able,62,,74.4,H,M
59,1218,,,,,,,,,,,,,12432.0,,able,82,170.2,62.1,L,M
